Product Name,Price,Original Price,Discount,Stock Availability,Image URL,Rating,Product Link
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 2,099","KSh 2,930",28%,671 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/jameson-jameson-irish-whiskey-750-ml-58538273.html
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,260","KSh 1,800",30%,660 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/nivea-perfect-radiant-even-tone-day-and-night-cream-for-women-50ml-68528030.html
Sony Bluetooth Headphone Wh-ch520 - Beige (1YR WRTY),"KSh 4,364","KSh 8,995",51%,5 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/sony-bluetooth-headphone-wh-ch520-beige-1yr-wrty-264692821.html
"XIAOMI Redmi A3, 6.71"", 4GB RAM +128GB (Dual SIM), 5000mAh, Forest Green (2YRs WRTY)","KSh 10,103","KSh 11,000",8%,71 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/xiaomi-redmi-a3-6.71-4gb-ram-128gb-dual-sim-5000mah-forest-green-2yrs-wrty-286515091.html
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,095","KSh 1,460",25%,1240 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/nivea-radiant-beauty-advanced-care-lotion-for-women-400ml-pack-of-2-94993120.html
Jameson Jameson Irish Whiskey - 1 Litre,"KSh 2,799","KSh 3,736",25%,591 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/jameson-jameson-irish-whiskey-1-litre-58538274.html
VON VSB1202WFK Wired Soundbar 120W - Black,"KSh 12,699","KSh 17,495",27%,9 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/von-vsb1202wfk-wired-soundbar-120w-black-278784365.html
"XIAOMI A3 Pro, 6.88"", 4GB RAM + 128GB (Dual Sim), 5160mAH,Midnight Black (2YRS WRTY)","KSh 11,999","KSh 14,280",16%,90 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/xiaomi-a3-pro-6.88-4gb-ram-128gb-dual-sim-5160mahmidnight-black-2yrs-wrty-286386963.html
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY),"KSh 17,050","KSh 23,000",26%,104 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/roch-rfr-120s-i-single-door-refrigerator-90-litres-silver-1y-wrty-161792756.html
VON VALS-75BWY Twin Tub Washing Machine - 7.5Kg (1YR WRTY),"KSh 19,250","KSh 29,995",36%,66 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/von-vals-75bwy-twin-tub-washing-machine-7.5kg1yr-wrty-267725144.html
Vitron HTC5068US 50” Smart Android 4K UHD LED TV - Black (1YR WRTY),"KSh 33,999","KSh 39,999",15%,23 items left,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating available,https://www.jumia.co.ke/vitron-htc5068us-50-smart-android-4k-uhd-led-tv-black-1yr-wrty-35096895.html
